Cruise,Platform,Layer,CastDirection,unixTimestamp,lat,lon,temperature,salinity,pHin,pH25atm,rhodamine,MLD
25706901,Glider,Surface,Mean,1754699880,42.5055,-69.5148,19.25525,31.750625,NaN,NaN,0.012375,NaN
25706901,Glider,WPT,Constant,1754705220,42.5048,-69.5383,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754702880,42.6522,-69.4095,17.6459791208791,32.0008855921856,8.0666216000897,7.94348847800659,0.0218412087912088,15.8729635005122
25720901,Glider,MLD,Up,1754702880,42.6522,-69.4095,17.6459791208791,32.0008855921856,8.0666216000897,7.94348847800659,0.0218412087912088,15.8729635005122
25720901,Glider,MLD,Down,1754699160,42.6609,-69.4033,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754702880,42.6522,-69.4095,19.1483142857143,31.8467456349206,8.07617549975791,7.97494156760799,0.0183252976190476,NaN
25720901,Glider,WPT,Constant,1754706900,42.6435,-69.4157,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754706900,42.6463,-69.4252,16.0145404761905,31.9993952380952,8.06152111296959,7.92708201213184,0.0271805555555556,15.8729719215108
25720901,Glider,MLD,Up,1754706900,42.6463,-69.4252,16.0145404761905,31.9993952380952,8.06152111296959,7.92708201213184,0.0271805555555556,15.8729719215108
25720901,Glider,MLD,Down,1754703240,42.6524,-69.4086,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,Surface,Mean,1754706900,42.6463,-69.4252,18.0551836734694,31.8366394557823,8.05323498828402,7.94943723881384,0.0211428571428571,NaN
25720901,Glider,WPT,Constant,1754710920,42.6402,-69.4418,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,MLD,Mean,1754703750,42.503775,-69.531225,15.925,31.820875,NaN,NaN,0.015,14.874752126281
25706901,Glider,MLD,Up,1754704980,42.5032,-69.5367,15.925,31.820875,NaN,NaN,0.015,14.874752126281
25706901,Glider,MLD,Down,1754700060,42.5055,-69.5148,NaN,NaN,NaN,NaN,NaN,NaN
25706901,Glider,Surface,Mean,1754704980,42.5032,-69.5367,19.165,31.5865,NaN,NaN,0.01275,NaN
25706901,Glider,WPT,Constant,1754710080,42.5009,-69.5586,NaN,NaN,NaN,NaN,NaN,NaN
25720901,Glider,MLD,Mean,1754711040,42.6421,-69.4403,16.5477103174603,31.8308892857143,8.06213624883602,7.93577409080599,0.0264944444444444,16.8649985790821
25720901,Glider,MLD,Up,1754711040,42.6421,-69.4403,16.5477103174603,31.8308892857143,8.06213624883602,7.93577409080599,0.0264944444444444,16.8649985790821
25720901,Glider,MLD,Down,1754707440,42.6461,-69.4233,NaN,NaN,NaN,NaN,NaN,NaN
